gene	32170378_EXO_S26	32161454_EXO_S20	32160526_EXO_S15	32152086_EXO_S7	32151130_EXO_S2	32151185_EXO_S4	32170440_EXO_S27	32152175_EXO_S9	32152337_EXO_S10	32151033_EXO_S1	32170273_EXO_S23	181023-190319_Brain_S29	32152088_EXO_S8	32151825_EXO_S6	32151151_EXO_S3	32170329_EXO_S24	32170337_EXO_S25	32160079_EXO_S13	32152347_EXO_S11	32160791_EXO_S16	32161000_EXO_S17	32160288_EXO_S14	32170032_EXO_S21	32170447_EXO_S28	32160018_EXO_S12	32170073_EXO_S22	32161249_EXO_S19	32151764_EXO_S5	32161037_EXO_S18
hsa-miR-518e-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.03800065771538374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3942-5p	0.0	0.0	0.0	0.8543357539513028	0.0	0.0	0.0	0.0	0.6280692961415819	0.0	0.0	0.0	0.0	0.9846745256822811	0.0	0.0	0.0	0.0	2.6771324698688743	221.04580893399722	0.0	1.7099870511230555	0.0	0.0	0.0	0.0	0.47779107629606804	0.0	0.0
hsa-miR-7702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.510946319124223	0.0	2.2591007875225344	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6787-5p	0.0	0.0	16.844658558771012	0.0	0.0	0.0	0.0	0.0	0.0	29.139054265013222	0.0	0.0	0.0	37.41763197592668	35.787333978347405	0.37366526766390457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4443	0.0	0.0	16.844658558771012	0.8543357539513028	0.0	91.11320272102473	44.232765580706676	15.556293039077408	6.594727609486609	35.07478754121962	0.0	33.37911752588003	17.084547426703654	0.0	1.263082375706379	23.540911862825986	65.90996399327773	0.0	0.0	0.0	0.0	7.053696585882604	49.700217325495764	6.802796289414765	0.0	9.548738919612555	8.600239373329224	32.7827778018445	22.4799928064023
hsa-miR-1184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.2825766864596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-889-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	516.7056734804137	0.0	0.0	0.0	1.1209958029917135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.503495361768456	0.0	5.236405213981079	0.0	0.0	0.0
hsa-miR-4442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.014957508243924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.67641319325523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1183	1.1479777797420954	0.0	0.0	0.0	0.0	0.0	0.0	0.5185431013025803	36.42801917621175	0.0	0.0	0.0	0.0	32.494259347515275	0.0	0.0	0.0	0.0	0.0	71.18424355501605	0.0	0.0	0.0	0.0	0.0	2.772214525048806	0.0	0.0	0.0
hsa-miR-4441	0.0	0.0	0.0	0.0	0.0	0.0	0.22800394629230245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
