gene	32160965_EXO_S9	32160622_EXO_S5	32161245_EXO_S17	32170434_EXO_S28	32160340_EXO_S2	32161045_EXO_S12	32170383_EXO_S25	32170272_EXO_S24	32160628_EXO_S6	32161104_EXO_S15	32161237_EXO_S16	32170016_EXO_S20	181004-190521_Brain_S35	32161013_EXO_S11	32170385_EXO_S26	32150161_EXO_S32	32160612_EXO_S4	32161253_EXO_S18	32170268_EXO_S22	32170269_EXO_S23	32150116_EXO_S31	32161004_EXO_S10	32161392_EXO_S19	32160765_EXO_S8	32170450_EXO_S29	32160373_EXO_S3	32160284_EXO_S1	32170409_EXO_S27	32170083_EXO_S21	32161065_EXO_S14	32150978_EXO_S34	32161046_EXO_S13	32160670_EXO_S7	32170652_EXO_S30	32150704_EXO_S33
hsa-miR-375-3p	1089.370473978205	436.88238473297577	2844.5812362266684	242.563181553526	947.3223443941384	620.7416384623343	536.9966962822721	346.37494544206294	1468.2857671207544	948.7337520688628	6583.545950869102	577.1614218558636	91.10357903192015	257.1648405889075	504.41361916771757	2377.6318729968343	2150.224043459241	2261.930536154959	8910.86437408092	43180.67093881811	2316.0201633017746	313.3563759230487	1238.4838818896235	318.45424456570356	376.26156362357705	1106.5988787856643	4270.862202514194	769.1039938471681	293.63871759963695	497.66506459419844	577.0430442919526	476.86919477987186	9262.451446827094	18419.27759286555	261.5584103180056
hsa-miR-3616-5p	0.0	0.0	7.992437700764586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-412-5p	0.0	0.0	0.0	0.0	0.6533257547545782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.78944902328791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-25-3p	1433.7850266411033	807.6681725137302	1342.7295337284504	960.6778637843596	1164.2264949726584	973.5064668366058	993.2062789645562	1066.3067266635705	648.4620600382173	1604.3064663938192	995.4100794972175	904.9773755656109	560.3333741908544	815.7379352013733	1449.0427605181706	793.4869011012636	659.8963443719739	1130.7334653990458	1035.4410911592893	1428.8036549995295	773.5076368199927	1011.3069801372635	1095.9245861325444	1112.8007871902676	745.1865507976693	657.6955600329892	955.7919571350402	477.9431961764544	1326.9355685468443	2761.8706752565017	452.27698066126015	837.1703641691083	459.67500976809396	1251.7978447470052	939.2761600973629
hsa-miR-3159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.48649092086913	0.0	12.98094999228097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-944	33.16584581198282	18.136261358841246	0.0	6.839187449817462	11.106537830827829	6.611909682869476	9.504366305880922	21.357199550799844	0.0	0.0	9.35096364018053	1.833422559897915	0.0	1.382606669832836	22.927891780350798	26.873887916085575	88.97478800520997	5.56326428240613	37.10049512297128	77.00139458081297	19.61911261788755	14.87879195030303	151.4692517418964	0.0	20.961646998527968	83.51689651212561	159.89084784786917	0.0	14.459482306042728	53.68647100930565	0.0	0.0	620.5612631869269	0.0	0.0
hsa-miR-4691-5p	0.0	0.0	0.0	0.0	0.0	3.8893586369820445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-943	8.92926618014922	0.0	0.0	2.735674979926985	0.0	12.057011774644339	0.0	0.0	0.0	0.0	0.0	1.833422559897915	0.7997642434099861	0.0	0.0	0.0	0.0	4.172448211804597	0.0	0.0	0.0	0.0	0.0	0.0	9.432741149337586	187.91301715228263	0.0	0.0	12.23494656665154	0.0	0.0	0.0	0.0	0.0	8.64996317587105
hsa-miR-6770-5p	0.0	0.0	0.0	0.45594582998783084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3129512256821685	0.0	0.0	0.0	0.0	0.0	0.0	4.277855254489609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.07529234730913	0.0	0.0	0.0
hsa-miR-941	0.0	23.778653781591856	8.719022946288637	11.854591579683602	0.0	8.556589001360496	26.612225656466578	14.755883326007169	0.0	34.625319418571635	4.207933638081239	10.267166335428326	6.9196993234168405	14.517370033244779	6.114104474760214	53.74777583217116	27.186740779369714	9.735712494210727	0.0	0.0	11.900117489538351	0.0	0.0	0.0	8.908699974374388	0.0	0.0	0.0	20.0208216545207	61.35596686777787	0.0	0.0	0.0	16.440121788422204	3.2952240669984962
hsa-miR-510-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.8638614195324	0.0	0.0	0.0	0.0	0.0	0.0	10.439612064015702	0.0	0.0	2.224535739391189	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-940	0.0	0.0	0.0	0.0	0.0	3.8893586369820445	0.0	0.0	0.0	0.0	0.0	0.0	23.367024850935245	0.691303334916418	13.75673506821048	0.0	44.48739400260499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.987199912102401	0.0	2.5564986194907453	0.0	5.298546608665243	0.0	0.0	0.0
hsa-miR-16-5p	781.9485954902102	742.7806596520982	795.6108438488384	637.4122703229875	567.5223056301436	618.0190874164468	647.2473454304907	818.5632118742922	451.21124329655424	884.0998224875291	626.0470157100865	843.3743775530409	2451.9960347920633	367.082070840618	687.8367534105239	709.5649353282245	640.124169259705	738.3687983704581	748.7554470272386	466.2862227393674	524.4628356650596	748.4483223485767	574.6921610207246	905.2688075856518	877.7689680633587	678.5747841610206	454.80063387838345	296.6543976267648	964.3362430260804	1432.2073377191487	311.91515907673113	604.0343133878376	1034.2687719782114	381.17596660870345	491.40028899115066
hsa-miR-3154	0.0	0.0	0.0	4.103512469890478	0.0	0.3889358636982045	0.9504366305880921	0.0	0.0	2.3083546279047757	0.0	0.366684511979583	0.8345366018191159	0.0	0.0	0.0	7.414565667100831	0.4636053568671775	0.0	0.0	0.0	0.0	49.00475791649589	0.0	7.860617624447988	0.0	0.0	0.0	1.1122678696955945	0.0	0.0	0.0	22.9837504884047	0.0	0.0
hsa-miR-3153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.833422559897915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-548av-3p	0.0	5.911077776214925	0.0	0.45594582998783084	0.0	0.0	0.0	0.0	15.615689658714993	0.0	0.0	0.0	0.3940867286368048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.909955984817435	0.0	1.0480823499263985	0.0	0.0	0.0	0.0	9.941939075797343	0.0	0.0	0.0	0.0	0.0
hsa-miR-1306-5p	29.339017449061725	36.27252271768249	0.0	9.574862429744448	33.31961349248349	15.557434547928178	0.0	2.3298763146327106	57.94242741786353	0.0	40.20914365277628	12.833957919285405	32.23397624526335	42.860806764817916	10.699682830830373	52.33336067869296	84.03174422714275	27.81632141203065	20.23663370343888	0.0	29.5894813253386	9.017449666850322	0.0	78.71902674657841	4.716370574668793	0.0	0.0	0.0	27.806696742389864	0.0	0.0	42.38837286932194	0.0	15.970404023038716	0.0
